Steering Angle [o];Absolute [];Time [s];
-62.05078125;12387.0;170.57720804214478;
-62.0068359375;12385.0;170.58721804618835;
-62.05078125;12387.0;170.59720611572266;
-62.02880859375;12386.0;170.60790300369263;
-62.05078125;12387.0;170.61732602119446;
-62.02880859375;12386.0;170.62733006477356;
-61.98486328125;12384.0;170.6374270915985;
-62.0068359375;12385.0;170.6475431919098;
-62.07275390625;12388.0;170.65763998031616;
-61.98486328125;12384.0;170.66776418685913;
-62.07275390625;12388.0;170.67786407470703;
-62.05078125;12387.0;170.68798518180847;
-62.07275390625;12388.0;170.6980881690979;
-62.02880859375;12386.0;170.7086160182953;
-62.0068359375;12385.0;170.71832418441772;
-62.02880859375;12386.0;170.7284231185913;
-62.0068359375;12385.0;170.73854207992554;
-62.02880859375;12386.0;170.74864602088928;
-62.02880859375;12386.0;170.75875401496887;
-61.98486328125;12384.0;170.768874168396;
-61.98486328125;12384.0;170.77898502349854;
-62.0068359375;12385.0;170.78908801078796;
-62.0068359375;12385.0;170.79940819740295;
-61.962890625;12383.0;170.80931305885315;
-61.962890625;12383.0;170.8194351196289;
-61.9189453125;12381.0;170.82953715324402;
-61.98486328125;12384.0;170.8396430015564;
-62.0068359375;12385.0;170.84975218772888;
-61.962890625;12383.0;170.85986614227295;
-61.94091796875;12382.0;170.86997199058533;
-61.9189453125;12381.0;170.88008999824524;
-62.0068359375;12385.0;170.89020419120789;
-61.962890625;12383.0;170.9003300666809;
-61.98486328125;12384.0;170.91041707992554;
-61.9189453125;12381.0;170.92053604125977;
-61.962890625;12383.0;170.93064308166504;
-61.94091796875;12382.0;170.94074606895447;
-61.89697265625;12380.0;170.95086312294006;
-61.94091796875;12382.0;170.9609820842743;
-61.89697265625;12380.0;170.9710831642151;
-61.89697265625;12380.0;170.98119115829468;
-61.875;12379.0;170.99173712730408;
-61.85302734375;12378.0;171.0018072128296;
-61.80908203125;12376.0;171.01196908950806;
-61.80908203125;12376.0;171.0219361782074;
-61.8310546875;12377.0;171.03183603286743;
-61.89697265625;12380.0;171.0418541431427;
-61.875;12379.0;171.0519711971283;
-61.89697265625;12380.0;171.0620801448822;
-61.875;12379.0;171.07238698005676;
-61.875;12379.0;171.0824999809265;
-61.85302734375;12378.0;171.09261012077332;
-61.875;12379.0;171.10272908210754;
-61.787109375;12375.0;171.1128430366516;
-61.80908203125;12376.0;171.12295007705688;
-61.787109375;12375.0;171.13305807113647;
-61.85302734375;12378.0;171.14328718185425;
-61.76513671875;12374.0;171.15319514274597;
-61.787109375;12375.0;171.16330814361572;
-61.7431640625;12373.0;171.17343711853027;
-61.7431640625;12373.0;171.18361806869507;
-61.69921875;12371.0;171.1936161518097;
-61.72119140625;12372.0;171.2037341594696;
-61.63330078125;12368.0;171.2139151096344;
-61.7431640625;12373.0;171.22407007217407;
-61.69921875;12371.0;171.2342460155487;
-61.6552734375;12369.0;171.24443697929382;
-61.63330078125;12368.0;171.25462412834167;
-61.63330078125;12368.0;171.26473212242126;
-61.611328125;12367.0;171.27484798431396;
-61.58935546875;12366.0;171.2845160961151;
-61.5234375;12363.0;171.2946240901947;
-61.4794921875;12361.0;171.30491518974304;
-61.611328125;12367.0;171.31500720977783;
-61.5673828125;12365.0;171.32517910003662;
-61.50146484375;12362.0;171.33528304100037;
