Motor Speed [RPM];Reported Torque [Nm];Phase Current [A RMS];Mechanical Power [kW];Speed (VCU) [km/h];Total Distance (VCU) [km];Time [s];
19.0;-104.0625;43.0;-0.20705059082565228;1.6331255250421182;0.17941836738387237;285.8682110309601;
19.0;-104.0625;43.0;-0.20705059082565228;1.6331255250421182;0.17942302233171376;285.87823510169983;
20.0;-104.0625;43.0;-0.2179479903427919;1.7190795000443349;0.179427806542154;285.88823318481445;
20.0;-104.0625;43.0;-0.2179479903427919;1.7190795000443349;0.17943268946920146;285.89825201034546;
21.0;-104.0625;45.0;-0.2288453898599315;1.8050334750465518;0.17943771193382257;285.9082281589508;
21.0;-104.0625;45.0;-0.2288453898599315;1.8050334750465518;0.17944272244417933;285.9182450771332;
21.0;-104.0625;45.0;-0.2288453898599315;1.8050334750465518;0.1794477409638932;285.92823815345764;
21.0;-104.0625;45.0;-0.2288453898599315;1.8050334750465518;0.1794527524305911;285.9382472038269;
21.0;-104.0625;42.0;-0.2288453898599315;1.8050334750465518;0.1794577698744212;285.9482421875;
21.0;-104.0625;42.0;-0.2288453898599315;1.8050334750465518;0.17946290421103278;285.95824909210205;
22.0;-104.0625;43.0;-0.23974278937707105;1.8909874500487684;0.1794681612069353;285.96825098991394;
22.0;-104.0625;43.0;-0.23974278937707105;1.8909874500487684;0.17947340392603064;285.9782590866089;
22.0;-104.0625;43.0;-0.23974278937707105;1.8909874500487684;0.17947867094074518;285.9882400035858;
22.0;-104.0625;43.0;-0.23974278937707105;1.8909874500487684;0.17948391203178363;285.9982671737671;
22.0;-104.0625;43.0;-0.23974278937707105;1.8909874500487684;0.1794891759156194;286.0082449913025;
22.0;-104.0625;43.0;-0.23974278937707105;1.8909874500487684;0.17949454854625937;286.0182662010193;
23.0;-104.0625;41.0;-0.2506401888942107;1.9769414250509851;0.17950018668395668;286.02826714515686;
23.0;-104.0625;41.0;-0.2506401888942107;1.9769414250509851;0.17950564104760974;286.0385341644287;
24.0;-104.0625;42.0;-0.2615375884113503;2.062895400053202;0.1795113792311146;286.0482552051544;
24.0;-104.0625;42.0;-0.2615375884113503;2.062895400053202;0.17951710662162648;286.05826902389526;
24.0;-104.0625;41.0;-0.2615375884113503;2.062895400053202;0.17952284439527086;286.06826400756836;
24.0;-104.0625;41.0;-0.2615375884113503;2.062895400053202;0.17952857069282144;286.07827711105347;
24.0;-104.0625;43.0;-0.2615375884113503;2.062895400053202;0.17953430491434155;286.08827018737793;
24.0;-104.0625;43.0;-0.2615375884113503;2.062895400053202;0.17954004200488508;286.09827709198;
24.0;-104.0625;43.0;-0.2615375884113503;2.062895400053202;0.1795457734940019;286.1082890033722;
24.0;-104.0625;43.0;-0.2615375884113503;2.062895400053202;0.17955150252395574;286.11829113960266;
24.0;-104.0625;43.0;-0.2615375884113503;2.062895400053202;0.1795572402976001;286.1282889842987;
24.0;-104.0625;43.0;-0.2615375884113503;2.062895400053202;0.17956308756661335;286.1383020877838;
25.0;-104.0625;43.0;-0.27243498792848986;2.1488493750554185;0.17956905544846127;286.1482980251312;
25.0;-104.0625;43.0;-0.27243498792848986;2.1488493750554185;0.17957502930744138;286.15829610824585;
25.0;-104.0625;43.0;-0.27243498792848986;2.1488493750554185;0.17958099761622734;286.1683042049408;
25.0;-104.0625;43.0;-0.27243498792848986;2.1488493750554185;0.17958697503302426;286.17830300331116;
25.0;-104.0625;41.0;-0.27243498792848986;2.1488493750554185;0.1795929326683599;286.1883170604706;
25.0;-104.0625;41.0;-0.27243498792848986;2.1488493750554185;0.17959890055020783;286.1982979774475;
25.0;-104.0625;42.0;-0.27243498792848986;2.1488493750554185;0.17960488038632014;286.20829606056213;
25.0;-104.0625;42.0;-0.27243498792848986;2.1488493750554185;0.1796109663193747;286.2183141708374;
26.0;-104.0625;43.0;-0.2833323874456295;2.2348033500576356;0.17961717661662602;286.2283101081848;
26.0;-104.0625;43.0;-0.2833323874456295;2.2348033500576356;0.17962339179804818;286.2383141517639;
26.0;-104.0625;43.0;-0.2833323874456295;2.2348033500576356;0.17962958907084384;286.2483260631561;
26.0;-104.0625;43.0;-0.2833323874456295;2.2348033500576356;0.17963592754627145;286.25830912590027;
27.0;-104.0625;41.0;-0.2942297869627691;2.320757325059852;0.1796424025223203;286.26832699775696;
27.0;-104.0625;41.0;-0.2942297869627691;2.320757325059852;0.1796489487201684;286.27837109565735;
28.0;-104.0625;43.0;-0.3051271864799086;2.406711300062069;0.17965562940064408;286.28834104537964;
28.0;-104.0625;43.0;-0.3051271864799086;2.406711300062069;0.17966231996331164;286.2983341217041;
28.0;-104.0625;41.0;-0.3051271864799086;2.406711300062069;0.17966901467012414;286.30834197998047;
28.0;-104.0625;41.0;-0.3051271864799086;2.406711300062069;0.17967568738109027;286.3183560371399;
28.0;-103.5;43.0;-0.30347785033677405;2.406711300062069;0.17968238463814584;286.3283371925354;
28.0;-103.5;43.0;-0.30347785033677405;2.406711300062069;0.17968905862423348;286.3383550643921;
28.0;-103.3125;44.0;-0.3029280716223958;2.406711300062069;0.17969574727421875;286.34833812713623;
28.0;-103.3125;44.0;-0.3029280716223958;2.406711300062069;0.1797024319394492;286.35834312438965;
28.0;-103.125;42.0;-0.3023782929080176;2.406711300062069;0.17970912521175;286.3683421611786;
28.0;-103.125;42.0;-0.3023782929080176;2.406711300062069;0.1797159428738638;286.3783540725708;
29.0;-102.5625;45.0;-0.31146927664934304;2.4926652750642857;0.17972286347073235;286.3883731365204;
29.0;-102.5625;45.0;-0.31146927664934304;2.4926652750642857;0.17972978472793172;286.3983681201935;
29.0;-102.375;43.0;-0.31089986298087996;2.4926652750642857;0.17973670251839438;286.4083640575409;
29.0;-102.375;43.0;-0.31089986298087996;2.4926652750642857;0.17974363219481132;286.41835498809814;
29.0;-101.8125;43.0;-0.3091916219754905;2.4926652750642857;0.17975056319188987;286.4283630847931;
29.0;-101.8125;43.0;-0.3091916219754905;2.4926652750642857;0.17975748940157016;286.43837308883667;
29.0;-101.625;42.0;-0.3086222083070273;2.4926652750642857;0.17976441478583693;286.44837617874146;
29.0;-101.625;42.0;-0.3086222083070273;2.4926652750642857;0.1797714877853446;286.45837807655334;
30.0;-100.875;42.0;-0.3169081589308704;2.5786192500665024;0.17977862567658387;286.4684200286865;
30.0;-100.875;42.0;-0.3169081589308704;2.5786192500665024;0.1797860346734609;286.47838521003723;
32.0;-100.125;41.0;-0.33552209540338995;2.7505272000709358;0.17979368339887808;286.4883952140808;
32.0;-100.125;41.0;-0.33552209540338995;2.7505272000709358;0.17980131919091974;286.4984061717987;
